city,county,state,fips,latitude,longitude,population,redState,unemploymentRate,povertyProp,tempDiff,numDisasters,avgEmissionsPerCapita,UNFCCC,hasCommitments,hasActionsUndertaken,hasEmissionInventory,hasInitiativeParticipations,hasImpact,hasMitigations,hasAdaptations,hasRiskAssessments,hasClimateActionPlans,hasFinanceActions
Minneapolis,Hennepin,MN,27053.0,44.9635,-93.2678,2892569.0,False,0.027,0.1,-2.001428571428576,60.0,15.733333333333333,False,True,True,True,True,False,True,True,True,True,True
Milwaukee,Milwaukee,WI,55079.0,43.0642,-87.9675,1290940.0,False,0.03,0.17800000000000002,-1.2923571428571456,47.0,16.3,False,True,True,True,True,False,True,True,True,True,False
Miami,Miami-Dade,FL,12086.0,25.784,-80.2101,6080145.0,True,0.031,0.152,1.8295714285714304,130.0,10.883333333333333,False,True,True,True,True,False,True,True,True,True,False
Miami Beach,Miami-Dade,FL,12086.0,25.8171,-80.1396,82400.0,True,0.031,0.152,1.8295714285714304,130.0,10.883333333333333,False,True,True,True,True,False,True,True,False,True,False
Memphis,Shelby,TN,47157.0,35.1087,-89.9663,1037998.0,True,0.033,0.18,1.395500000000002,69.0,13.716666666666667,False,True,True,True,True,False,True,True,True,True,False
Medford,Middlesex,MA,25017.0,42.4234,-71.1087,61748.0,False,0.029,0.077,-0.6152499999999996,47.0,8.799999999999999,False,True,True,True,True,False,True,True,True,True,False
Santa Cruz,Santa Cruz,CA,6087.0,36.9789,-122.0346,167835.0,False,0.053,0.106,-0.8213214285714301,284.0,8.716666666666669,False,True,True,True,True,False,True,True,True,True,False
Palo Alto,Santa Clara,CA,6085.0,37.3905,-122.1468,67901.0,False,0.053,0.069,-0.8213214285714301,284.0,8.716666666666669,False,True,True,True,True,False,True,True,True,True,False
Manhattan Beach,Los Angeles,CA,6037.0,33.8894,-118.3967,35123.0,False,0.053,0.141,-0.8213214285714301,284.0,8.716666666666669,False,True,True,True,True,False,True,True,True,True,False
Philadelphia,Philadelphia,PA,42101.0,40.0077,-75.1339,5683533.0,False,0.034,0.223,-0.3781428571428549,59.0,16.566666666666666,False,True,True,True,True,False,True,True,True,True,False
Rochester,Monroe,NY,36055.0,43.168,-77.6162,699921.0,False,0.044,0.133,-0.9301904761904787,95.0,8.316666666666666,False,True,True,True,True,False,True,True,True,True,False
Phoenix,Maricopa,AZ,4013.0,33.5722,-112.0892,4064275.0,False,0.041,0.113,-0.5132976190476164,68.0,12.383333333333335,False,True,True,True,True,False,True,True,True,True,False
San Leandro,Alameda,CA,6001.0,37.7074,-122.1599,89723.0,False,0.053,0.094,-0.8213214285714301,284.0,8.716666666666669,False,True,True,True,True,True,True,False,False,False,False
San José,,CA,,,,,,,,,,,,True,True,True,True,False,True,True,True,True,False
San Francisco,San Francisco,CA,6075.0,37.7558,-122.4449,3364979.0,False,0.053,0.114,-0.8213214285714301,284.0,8.716666666666669,False,True,True,True,True,False,True,True,True,True,True
San Diego,San Diego,CA,6073.0,32.8313,-117.1222,3046560.0,False,0.053,0.107,-0.8213214285714301,284.0,8.716666666666669,False,True,True,True,True,False,True,True,True,True,False
Salem,Essex,MA,25009.0,42.5129,-70.9021,44541.0,False,0.029,0.096,-0.6152499999999996,47.0,8.799999999999999,False,True,True,True,True,False,True,True,True,True,False
Saint Paul,,MN,,,,,,,,,,,,True,True,True,True,False,True,True,True,True,True
