id,city,state,state_name,county_fips,county_name,latitude,longitude
1840010466,Veedersburg,IN,Indiana,18045,Fountain,40.1137,-87.2566
1840012589,Moweaqua,IL,Illinois,17173,Shelby,39.6265,-89.0187
1840013777,Belzoni,MS,Mississippi,28053,Humphreys,33.1804,-90.4863
1840022361,Pinedale,WY,Wyoming,56035,Sublette,42.8676,-109.8707
1840003865,Victoria,VA,Virginia,51111,Lunenburg,36.9947,-78.2242
1840023890,Fern Prairie,WA,Washington,53011,Clark,45.637,-122.3963
1840014588,Crump,TN,Tennessee,47071,Hardin,35.2315,-88.3381
1840013803,Hamilton,GA,Georgia,13145,Harris,32.7647,-84.8753
1840025228,Lillian,AL,Alabama,1003,Baldwin,30.4122,-87.432
1840006267,Gordonsville,VA,Virginia,51137,Orange,38.136,-78.1879
1840006346,Crab Orchard,WV,West Virginia,54081,Raleigh,37.741,-81.2298
1840011018,Saranac,MI,Michigan,26067,Ionia,42.9294,-85.2105
1840017982,Cabazon,CA,California,6065,Riverside,33.9127,-116.7828
1840019666,Kemah,TX,Texas,48167,Galveston,29.5309,-95.0196
1840022501,Camanche Village,CA,California,6005,Amador,38.2662,-120.9866
1840004158,Brice Prairie,WI,Wisconsin,55063,La Crosse,43.9375,-91.3073
1840015725,Sparta,GA,Georgia,13141,Hancock,33.2766,-82.9704
1840024945,Unionville,TN,Tennessee,47003,Bedford,35.6117,-86.5739
1840033345,Mickleton,NJ,New Jersey,34015,Gloucester,39.7921,-75.2437
1840040532,Tyler Run,PA,Pennsylvania,42133,York,39.9305,-76.7011
1840011989,Mackinaw,IL,Illinois,17179,Tazewell,40.5341,-89.355
1840013312,Central,TN,Tennessee,47019,Carter,36.3289,-82.294
1840010915,L'Anse,MI,Michigan,26013,Baraga,46.7526,-88.4477
1840005317,Oyster Bay Cove,NY,New York,36059,Nassau,40.8569,-73.5037
1840001680,Humboldt,KS,Kansas,20001,Allen,37.8125,-95.4363
1840016068,Troy,TN,Tennessee,47131,Obion,36.342,-89.1583
1840017967,Sardis City,AL,Alabama,1055,Etowah,34.1749,-86.1125
1840035447,Beech Mountain Lakes,PA,Pennsylvania,42079,Luzerne,41.0437,-75.9323
1840015571,Calhoun Falls,SC,South Carolina,45001,Abbeville,34.0933,-82.5963
1840004788,South Fallsburg,NY,New York,36105,Sullivan,41.704,-74.6331
1840008331,Lewistown,IL,Illinois,17057,Fulton,40.3969,-90.1554
