city,county,state,fips,latitude,longitude,population,redCounty,redState,unemploymentRate,povertyProp,tempDiff,numDisasters,avgEmissionsPerCapita,lessThanHighSchoolProp,medianHouseholdIncome,UNFCCC,hasCommitments,hasActionsUndertaken,hasEmissionInventory,hasInitiativeParticipations,hasImpact,hasMitigations,hasAdaptations,hasRiskAssessments,hasClimateActionPlans,hasFinanceActions
Phoenix,Maricopa,AZ,4013,33.5722,-112.0892,4064275,False,False,0.033,0.113,-0.5132976190476164,68.0,12.383333333333335,0.1115749581342491,76230.0,True,True,True,True,True,False,True,True,True,True,False
Detroit,Wayne,MI,26163,42.3834,-83.1024,3725908,False,False,0.046,0.196,-0.7531666666666652,37.0,15.283333333333333,0.123918720148082,52644.0,True,True,True,True,True,True,True,False,False,False,False
Seattle,King,WA,53033,47.6211,-122.3244,3561397,False,False,0.029,0.09300000000000001,-2.111226190476188,136.0,10.266666666666667,0.06331713642266043,110351.0,True,True,True,True,True,False,True,True,True,True,False
San Francisco,San Francisco,CA,6075,37.7558,-122.4449,3364979,False,False,0.025,0.114,-0.8213214285714301,284.0,8.716666666666669,0.11219663003705539,119776.0,True,True,True,True,True,False,True,True,True,True,True
San Diego,San Diego,CA,6073,32.8313,-117.1222,3046560,False,False,0.034,0.107,-0.8213214285714301,284.0,8.716666666666669,0.1168482859618864,90756.0,True,True,True,True,True,False,True,True,True,True,False
Minneapolis,Hennepin,MN,27053,44.9635,-93.2678,2892569,False,False,0.025,0.1,-2.001428571428576,60.0,15.733333333333333,0.06133782087771932,84220.0,True,True,True,True,True,False,True,True,True,True,True
Tampa,Hillsborough,FL,12057,27.9945,-82.4447,2861173,False,True,0.028,0.14300000000000002,1.8295714285714304,130.0,10.883333333333333,0.1081641085652414,65818.0,True,True,True,True,True,False,False,False,False,False,True
Brooklyn,Kings,NY,36047,40.6501,-73.9496,2736074,False,False,0.059,0.192,-0.9301904761904787,95.0,8.316666666666666,0.1630432697533745,66943.0,False,False,False,False,False,False,False,False,False,False,False
Denver,Denver,CO,8031,39.762,-104.8758,2687458,False,False,0.031,0.11699999999999999,-0.07192857142857179,80.0,15.333333333333334,0.09967613619785841,81262.0,True,True,True,True,True,False,True,True,True,True,False
Queens,Queens,NY,36081,40.7498,-73.7976,2405464,False,False,0.052,0.136,-0.9301904761904787,95.0,8.316666666666666,0.17298275298150478,72807.0,False,False,False,False,False,False,False,False,False,False,False
Riverside,Riverside,CA,6065,33.9381,-117.3949,2332836,False,False,0.042,0.11599999999999999,-0.8213214285714301,284.0,8.716666666666669,0.1700949517992775,78690.0,False,False,False,False,False,False,False,False,False,False,False
Las Vegas,Clark,NV,32003,36.2333,-115.2654,2248047,False,False,0.06,0.151,-1.1436547619047666,73.0,13.083333333333334,0.1362216164155471,63735.0,True,True,True,True,True,False,True,True,True,True,False
Baltimore,Baltimore,MD,24510,39.3051,-76.6144,2196524,False,False,0.043,0.22899999999999998,-0.1876785714285738,32.0,9.183333333333332,0.1366887749199861,54068.0,True,True,True,True,True,False,True,True,True,True,False
St. Louis,St. Louis,MO,29510,38.6359,-90.2451,2130881,False,True,0.031,0.215,0.14886904761904773,69.0,19.35,0.1075324936935452,49246.0,False,False,False,False,False,False,False,False,False,False,False
Portland,Multnomah,OR,41051,45.5371,-122.65,2095808,False,False,0.039,0.124,-1.1447023809523849,79.0,9.316666666666666,0.07632992897436842,77851.0,True,True,True,True,True,False,True,True,True,True,True
San Antonio,Bexar,TX,48029,29.4632,-98.5238,2058444,False,True,0.037,0.14800000000000002,-0.08552380952381,255.0,23.05,0.14628098591934768,63014.0,True,True,True,True,True,False,True,True,True,True,False
Sacramento,Sacramento,CA,6067,38.5677,-121.4685,1957738,False,False,0.039,0.13,-0.8213214285714301,284.0,8.716666666666669,0.1193478218121242,79611.0,True,True,True,False,True,False,True,True,False,True,False
Austin,Travis,TX,48453,30.3005,-97.7522,1905945,False,True,0.028,0.11199999999999999,-0.08552380952381,255.0,23.05,0.09365507854590824,84519.0,True,True,True,True,True,True,True,True,True,True,False
Orlando,Orange,FL,12095,28.4773,-81.337,1882705,False,True,0.029,0.149,1.8295714285714304,130.0,10.883333333333333,0.105328967640912,64579.0,True,True,True,True,True,False,True,True,False,True,False
San Juan,San Juan,PR,72127,18.3985,-66.061,1814587,False,False,0.043,,,,,0.16428816344869168,,False,False,False,False,False,False,False,False,False,False,False
San Jose,Santa Clara,CA,6085,37.3012,-121.848,1771413,False,False,0.026,0.069,-0.8213214285714301,284.0,8.716666666666669,0.1081273362719843,141161.0,False,False,False,False,False,False,False,False,False,False,False
Pittsburgh,Allegheny,PA,42003,40.4397,-79.9763,1749091,False,False,0.042,0.113,-0.3781428571428549,59.0,16.566666666666666,0.049141866359013325,68874.0,True,True,True,True,True,False,True,True,True,True,False
Indianapolis,Marion,IN,18097,39.7771,-86.1458,1729849,False,True,0.032,0.151,0.5251547619047621,48.0,25.883333333333336,0.1310866706477768,58737.0,True,True,True,True,True,False,True,True,False,True,False
Manhattan,New York,NY,36061,40.7834,-73.9662,1694263,False,False,0.046,0.174,-0.9301904761904787,95.0,8.316666666666666,0.1161625074179342,84371.0,False,False,False,False,False,False,False,False,False,False,False
Cincinnati,Hamilton,OH,39061,39.1413,-84.506,1692702,False,True,0.036,0.157,0.5749285714285755,54.0,17.01666666666667,0.08058353594998263,64087.0,True,True,True,False,True,False,True,True,True,True,False
Kansas City,Jackson,MO,29095,39.1238,-94.5541,1689556,True,True,0.029,0.131,0.14886904761904773,69.0,19.35,0.08633831901800113,63282.0,True,True,True,True,True,False,True,True,True,True,False
Cleveland,Cuyahoga,OH,39035,41.4764,-81.6805,1680247,False,True,0.049,0.162,0.5749285714285755,54.0,17.01666666666667,0.09283024202098121,55250.0,True,True,True,True,True,False,True,True,True,True,True
Columbus,Franklin,OH,39049,39.9862,-82.9855,1572546,False,True,0.034,0.14300000000000002,0.5749285714285755,54.0,17.01666666666667,0.08539437608761713,66056.0,True,True,True,True,True,False,True,True,True,True,False
Bronx,Bronx,NY,36005,40.8501,-73.8662,1472654,False,False,0.078,0.264,-0.9301904761904787,95.0,8.316666666666666,0.2587103619641621,43143.0,False,False,False,False,False,False,False,False,False,False,False
Virginia Beach,Virginia Beach,VA,51810,36.7335,-76.0435,1443020,False,False,0.028,0.094,0.3780833333333362,64.0,12.283333333333333,0.05548167472639348,81364.0,False,False,False,False,False,False,False,False,False,False,False
Charlotte,Mecklenburg,NC,37119,35.2083,-80.8303,1427444,False,True,0.035,0.102,0.8821071428571443,59.0,11.483333333333334,0.09171039811859566,75138.0,True,True,True,True,True,False,True,True,True,True,False
Milwaukee,Milwaukee,WI,55079,43.0642,-87.9675,1290940,False,False,0.037,0.17800000000000002,-1.2923571428571456,47.0,16.3,0.1083366093563217,56417.0,True,True,True,True,True,False,True,True,True,True,False
Providence,Providence,RI,44007,41.823,-71.4187,1290271,False,False,0.035,0.14300000000000002,-0.5364523809523831,22.0,9.566666666666668,0.13834773141673598,66610.0,True,True,True,True,True,False,True,True,True,True,False
Jacksonville,Duval,FL,12031,30.3322,-81.6749,1288298,False,True,0.03,0.149,1.8295714285714304,130.0,10.883333333333333,0.09500403307118371,60121.0,False,False,False,False,False,False,False,False,False,False,False
Nashville,Davidson,TN,47037,36.1715,-86.7842,1177657,False,True,0.028,0.15,1.395500000000002,69.0,13.716666666666667,0.09887325144828511,65463.0,True,True,True,True,True,False,True,True,True,True,False
Salt Lake City,Salt Lake,UT,49035,40.7776,-111.9311,1173879,False,True,0.023,0.08800000000000001,-0.5405119047619067,34.0,18.833333333333332,0.08199408368809333,80676.0,True,True,True,False,True,False,True,True,False,True,False
Raleigh,Wake,NC,37183,35.8324,-78.6429,1163152,False,True,0.031,0.094,0.8821071428571443,59.0,11.483333333333334,0.06338787434521359,91558.0,False,False,False,False,False,False,False,False,False,False,False
Richmond,Richmond,VA,51760,37.5295,-77.4756,1073223,False,False,0.034,0.21100000000000002,0.3780833333333362,64.0,12.283333333333333,0.1226369092273068,52011.0,True,True,True,False,False,False,True,True,False,True,False
Memphis,Shelby,TN,47157,35.1087,-89.9663,1037998,False,True,0.045,0.18,1.395500000000002,69.0,13.716666666666667,0.1072462202316643,54931.0,True,True,True,True,True,False,True,True,True,True,False
Oklahoma City,Oklahoma,OK,40109,35.4676,-97.5136,998806,False,True,0.029,0.163,0.23913095238095394,173.0,23.28333333333333,0.1158215700842001,57890.0,False,False,False,False,False,False,False,False,False,False,False
Hartford,Capitol,CT,9110,41.7661,-72.6834,974684,False,False,,,-0.5519761904761893,31.0,9.883333333333333,,,False,False,False,False,False,False,False,False,False,False,False
Louisville,Jefferson,KY,21111,38.1663,-85.6485,963812,False,True,0.038,0.145,1.1291190476190494,74.0,25.833333333333332,0.08747038353324449,60636.0,True,True,True,True,True,False,True,True,True,True,False
Buffalo,Erie,NY,36029,42.9018,-78.8487,944589,False,False,0.036,0.13699999999999998,-0.9301904761904787,95.0,8.316666666666666,0.07903184644934252,63014.0,True,False,True,False,False,False,True,True,False,True,False
New Orleans,Orleans,LA,22071,30.0687,-89.9288,932759,False,True,0.045,0.252,1.2045357142857114,79.0,40.93333333333333,0.1182497953242973,46188.0,True,True,True,True,True,False,True,True,True,True,False
Fort Worth,Tarrant,TX,48439,32.7817,-97.3474,924663,False,True,0.036,0.11599999999999999,-0.08552380952381,255.0,23.05,0.1334850079042549,71399.0,True,False,True,False,False,False,False,True,False,False,False
Bridgeport,Greater Bridgeport,CT,9120,41.1918,-73.1954,908251,False,False,,,-0.5519761904761893,31.0,9.883333333333333,,,True,False,False,False,True,False,False,False,False,False,False
Tucson,Pima,AZ,4019,32.1541,-110.8787,878320,False,False,0.038,0.147,-0.5132976190476164,68.0,12.383333333333335,0.10649117387971771,60604.0,False,False,False,False,False,False,False,False,False,False,False
El Paso,El Paso,TX,48141,31.8476,-106.43,865270,False,True,0.043,0.201,-0.08552380952381,255.0,23.05,0.2024416301904427,50983.0,False,False,False,False,False,False,False,False,False,False,False
Omaha,Douglas,NE,31055,41.2627,-96.0529,821345,False,True,0.027,0.11699999999999999,-1.3741547619047623,62.0,25.23333333333333,0.08805695887480275,69475.0,True,False,True,False,False,False,True,True,True,False,False
McAllen,Hidalgo,TX,48215,26.2252,-98.2467,797341,False,True,0.065,0.28800000000000003,-0.08552380952381,255.0,23.05,0.32678021769279936,44260.0,False,False,False,False,False,False,False,False,False,False,False
Birmingham,Jefferson,AL,1073,33.5279,-86.7971,782111,False,True,0.026,0.16899999999999998,1.6794404761904822,82.0,21.900000000000002,0.09038611140770829,55210.0,True,False,True,False,True,False,True,True,False,False,False
Albuquerque,Bernalillo,NM,35001,35.1054,-106.6465,769986,False,False,0.036,0.152,-0.1509166666666708,83.0,22.53333333333333,0.0971368024387274,59723.0,True,True,True,False,False,False,True,True,False,True,False
Tulsa,Tulsa,OK,40143,36.1283,-95.9042,731743,False,True,0.03,0.147,0.23913095238095394,173.0,23.28333333333333,0.1017444252447955,59232.0,False,False,False,False,False,False,False,False,False,False,False
Fresno,Fresno,CA,6019,36.783,-119.7939,725276,False,False,0.064,0.19399999999999998,-0.8213214285714301,284.0,8.716666666666669,0.2209239621812921,63140.0,False,False,False,False,False,False,False,False,False,False,False
Charleston,Charleston,SC,45019,32.8168,-79.9687,706884,False,True,0.028,0.138,1.4022976190476157,30.0,13.733333333333334,0.0711486833444189,71755.0,False,False,False,False,False,False,False,False,False,False,False
Rochester,Monroe,NY,36055,43.168,-77.6162,699921,False,False,0.034,0.133,-0.9301904761904787,95.0,8.316666666666666,0.08907209274885719,66003.0,True,True,True,True,True,False,True,True,True,True,False
Dayton,Montgomery,OH,39113,39.7805,-84.2003,668825,False,True,0.041,0.152,0.5749285714285755,54.0,17.01666666666667,0.0897095040478944,56636.0,False,False,False,False,False,False,False,False,False,False,False
Cape Coral,Lee,FL,12071,26.6443,-81.9957,654405,True,True,0.031,0.122,1.8295714285714304,130.0,10.883333333333333,0.10232748879728809,66426.0,False,False,False,False,False,False,False,False,False,False,False
Mission Viejo,Orange,CA,6059,33.6096,-117.6551,642211,False,False,0.032,0.099,-0.8213214285714301,284.0,8.716666666666669,0.13388919483522138,100210.0,False,False,False,False,False,False,False,False,False,False,False
Colorado Springs,El Paso,CO,8041,38.8674,-104.7605,638194,True,False,0.033,0.096,-0.07192857142857179,80.0,15.333333333333334,0.05550444713882365,79094.0,False,False,False,False,False,False,False,False,False,False,False
Baton Rouge,East Baton Rouge,LA,22033,30.442,-91.1311,635671,False,True,0.035,0.192,1.2045357142857114,79.0,40.93333333333333,0.0956116373337388,51746.0,False,False,False,False,False,False,False,False,False,False,False
Allentown,Lehigh,PA,42077,40.5961,-75.4756,627863,False,False,0.044,0.111,-0.3781428571428549,59.0,16.566666666666666,0.10307847590209439,68688.0,True,False,True,False,False,False,True,True,False,True,False
Ogden,Weber,UT,49057,41.2279,-111.9682,622918,True,True,0.025,0.09300000000000001,-0.5405119047619067,34.0,18.833333333333332,0.08180795708759224,72348.0,False,False,False,False,False,False,False,False,False,False,False
Provo,Utah,UT,49049,40.2457,-111.6457,619218,True,True,0.021,0.081,-0.5405119047619067,34.0,18.833333333333332,0.04874927104754305,86597.0,False,False,False,False,False,False,False,False,False,False,False
Knoxville,Knox,TN,47093,35.9692,-83.9496,615829,True,True,0.029,0.121,1.395500000000002,69.0,13.716666666666667,0.0786500652021266,64817.0,True,True,True,True,True,False,True,True,True,True,False
Grand Rapids,Kent,MI,26081,42.9619,-85.6562,609023,False,False,0.035,0.099,-0.7531666666666652,37.0,15.283333333333333,0.07899779465254878,71933.0,True,True,True,False,True,False,True,True,True,False,False
Columbia,Richland,SC,45079,34.0378,-80.9036,604065,False,True,0.033,0.17,1.4022976190476157,30.0,13.733333333333334,0.08185476948900376,56940.0,True,True,True,False,True,False,True,False,False,True,True
Albany,Albany,NY,36001,42.6664,-73.7987,590694,False,False,0.03,0.11900000000000001,-0.9301904761904787,95.0,8.316666666666666,0.07184548746715899,74512.0,True,True,True,True,True,False,True,True,True,True,False
Bakersfield,Kern,CA,6029,35.3529,-119.0359,571992,True,False,0.069,0.185,-0.8213214285714301,284.0,8.716666666666669,0.24052093009780118,57926.0,False,False,False,False,False,False,False,False,False,False,False
New Haven,South Central Connecticut,CT,9170,41.3113,-72.9246,565572,False,False,,,-0.5519761904761893,31.0,9.883333333333333,,,True,False,False,False,True,False,False,False,False,False,False
Des Moines,Polk,IA,19153,41.5725,-93.6105,548926,False,True,0.027,0.10099999999999999,-1.4649642857142844,63.0,23.683333333333337,0.0751022946640517,73276.0,True,True,True,True,True,False,True,True,True,True,False
Akron,Summit,OH,39153,41.0798,-81.5219,541945,False,True,0.041,0.125,0.5749285714285755,54.0,17.01666666666667,0.07376722633132217,63191.0,False,False,False,False,False,False,False,False,False,False,False
Palm Bay,Brevard,FL,12009,27.9631,-80.6593,534348,True,True,0.028,0.113,1.8295714285714304,130.0,10.883333333333333,0.07509306290784763,65280.0,False,False,False,False,False,False,False,False,False,False,False
Concord,Contra Costa,CA,6013,37.9722,-122.0016,531175,False,False,0.035,0.08800000000000001,-0.8213214285714301,284.0,8.716666666666669,0.1025614270452908,110595.0,False,False,False,False,False,False,False,False,False,False,False
Wichita,Sedgwick,KS,20173,37.6895,-97.3443,509003,True,True,0.031,0.133,-0.07115476190476144,70.0,20.7,0.1044684029356368,60540.0,False,False,False,False,False,False,False,False,False,False,False
Mesa,Maricopa,AZ,4013,33.4015,-111.7178,503390,False,False,0.033,0.113,-0.5132976190476164,68.0,12.383333333333335,0.1115749581342491,76230.0,False,False,False,False,False,False,False,False,False,False,False
Harrisburg,Dauphin,PA,42043,40.2752,-76.8843,498329,False,False,0.04,0.11800000000000001,-0.3781428571428549,59.0,16.566666666666666,0.09086666024057266,66121.0,False,False,False,False,False,False,False,False,False,False,False
Staten Island,Richmond,NY,36085,40.5834,-74.1496,495747,True,False,0.055,0.11900000000000001,-0.9301904761904787,95.0,8.316666666666666,0.11399318793573548,84744.0,False,False,False,False,False,False,False,False,False,False,False
Toledo,Lucas,OH,39095,41.6638,-83.5827,493302,False,True,0.044,0.174,0.5749285714285755,54.0,17.01666666666667,0.0983690893542793,53379.0,False,False,False,False,False,False,False,False,False,False,False
Worcester,Worcester,MA,25027,42.2705,-71.8079,486486,False,False,0.039,0.1,-0.6152499999999996,47.0,8.799999999999999,0.08435959451112267,84583.0,False,False,False,False,False,False,False,False,False,False,False
Long Beach,Los Angeles,CA,6037,33.7977,-118.167,462293,False,False,0.049,0.141,-0.8213214285714301,284.0,8.716666666666669,0.199571630472485,77356.0,True,False,True,True,True,False,True,True,True,True,True
Port St. Lucie,St. Lucie,FL,12111,27.2796,-80.3884,462047,True,True,0.034,0.114,1.8295714285714304,130.0,10.883333333333333,0.1178188447693041,62378.0,False,False,False,False,False,False,False,False,False,False,False
Little Rock,Pulaski,AR,5119,34.7256,-92.3577,459409,False,True,0.035,0.17600000000000002,0.912119047619047,71.0,20.983333333333334,0.08522869928665316,53597.0,False,False,False,False,False,False,False,False,False,False,False
Reno,Washoe,NV,32031,39.5497,-119.8483,457702,False,False,0.035,0.11,-1.1436547619047666,73.0,13.083333333333334,0.1145335939862229,76123.0,True,True,True,False,True,False,True,True,True,True,False
Spokane,Spokane,WA,53063,47.6671,-117.433,456219,True,False,0.048,0.11199999999999999,-2.111226190476188,136.0,10.266666666666667,0.058397240419416796,65571.0,True,True,True,False,False,False,False,False,False,False,True
Madison,Dane,WI,55025,43.0822,-89.393,451652,False,False,0.022,0.113,-1.2923571428571456,47.0,16.3,0.03924206475389119,77653.0,True,True,True,False,True,False,True,True,False,True,False
Boise,Ada,ID,16001,43.6005,-116.2308,449776,True,True,0.023,0.087,-1.2147976190476228,44.0,10.866666666666667,0.0497022342262778,79345.0,True,True,True,False,True,False,True,True,False,True,False
Bonita Springs,Lee,FL,12071,26.3558,-81.7859,449527,True,True,0.031,0.122,1.8295714285714304,130.0,10.883333333333333,0.10232748879728809,66426.0,False,False,False,False,False,False,False,False,False,False,False
Denton,Denton,TX,48121,33.2175,-97.1418,438492,True,True,0.032,0.07400000000000001,-0.08552380952381,255.0,23.05,0.06740225923081246,98027.0,True,True,True,False,True,False,True,True,True,False,False
Oakland,Alameda,CA,6001,37.7904,-122.2166,437825,False,False,0.033,0.094,-0.8213214285714301,284.0,8.716666666666669,0.1099556649297281,108971.0,True,True,True,True,True,False,True,True,True,True,False
Springfield,Hampden,MA,25013,42.1155,-72.5395,437752,False,False,0.049,0.17,-0.6152499999999996,47.0,8.799999999999999,0.13866292572088532,61818.0,False,False,False,False,False,False,False,False,False,False,False
Augusta,Richmond,GA,13245,33.3645,-82.0708,437257,False,False,0.042,0.214,,65.0,12.716666666666669,0.13630921587465822,47816.0,False,False,False,False,False,False,False,False,False,False,False
Kissimmee,Osceola,FL,12097,28.3041,-81.4169,431618,False,True,0.034,0.133,1.8295714285714304,130.0,10.883333333333333,0.133899199612703,60495.0,False,False,False,False,False,False,False,False,False,False,False
Winston-Salem,Forsyth,NC,37067,36.1029,-80.261,427706,False,True,0.037,0.14300000000000002,0.8821071428571443,59.0,11.483333333333334,0.107315489785064,60228.0,True,False,True,True,False,False,True,True,True,True,False
Stockton,San Joaquin,CA,6077,37.9765,-121.3109,413637,False,False,0.052,0.12300000000000001,-0.8213214285714301,284.0,8.716666666666669,0.19700528058346461,79598.0,False,False,False,False,False,False,False,False,False,False,False
Syracuse,Onondaga,NY,36067,43.0407,-76.1437,410732,False,False,0.033,0.142,-0.9301904761904787,95.0,8.316666666666666,0.08683475111675425,65548.0,False,False,False,False,False,False,False,False,False,False,False
Chattanooga,Hamilton,TN,47065,35.066,-85.2481,406849,True,True,0.034,0.126,1.395500000000002,69.0,13.716666666666667,0.09523660844960484,65689.0,False,False,False,False,False,False,False,False,False,False,False
Lancaster,Lancaster,PA,42071,40.042,-76.3012,402476,True,False,0.035,0.08800000000000001,-0.3781428571428549,59.0,16.566666666666666,0.1364479848534561,75619.0,False,False,False,False,False,False,False,False,False,False,False
Greenville,Greenville,SC,45045,34.8354,-82.3646,401443,False,True,0.028,0.109,1.4022976190476157,30.0,13.733333333333334,0.1034835111172583,68487.0,False,False,False,False,False,False,False,False,False,False,False
Durham,Durham,NC,37063,35.9792,-78.9022,399616,False,True,0.032,0.134,0.8821071428571443,59.0,11.483333333333334,0.1006629684751725,71436.0,True,True,True,False,False,False,True,False,False,False,False
Durham,Durham,NC,37063,35.9792,-78.9022,399616,False,True,0.032,0.134,0.8821071428571443,59.0,11.483333333333334,0.1006629684751725,71436.0,True,True,True,True,False,False,True,False,False,False,False
Pensacola,Escambia,FL,12033,30.4413,-87.1911,398813,True,True,0.03,0.185,1.8295714285714304,130.0,10.883333333333333,0.09400516532278631,54492.0,False,False,False,False,False,False,False,False,False,False,False
Fayetteville,Washington,AR,5143,36.0714,-94.1661,394650,False,True,0.023,0.124,0.912119047619047,71.0,20.983333333333334,0.135028761731759,64218.0,True,True,True,False,True,False,True,True,True,True,False
Arlington,Tarrant,TX,48439,32.6998,-97.125,393469,False,True,0.036,0.11599999999999999,-0.08552380952381,255.0,23.05,0.1334850079042549,71399.0,False,False,False,False,False,False,False,False,False,False,False
Aurora,Arapahoe,CO,8005,39.7083,-104.7237,387349,False,False,0.031,0.087,-0.07192857142857179,80.0,15.333333333333334,0.07930632729879906,84308.0,False,False,False,False,False,False,False,False,False,False,False
Oxnard,Ventura,CA,6111,34.1964,-119.1815,369962,False,False,0.037,0.08900000000000001,-0.8213214285714301,284.0,8.716666666666669,0.1437494019502945,95819.0,False,False,False,False,False,False,False,False,False,False,False
Indio,Riverside,CA,6065,33.7346,-116.2346,369654,False,False,0.042,0.11599999999999999,-0.8213214285714301,284.0,8.716666666666669,0.1700949517992775,78690.0,False,False,False,False,False,False,False,False,False,False,False
Scranton,Lackawanna,PA,42069,41.4044,-75.6649,366334,False,False,0.047,0.13699999999999998,-0.3781428571428549,59.0,16.566666666666666,0.08441310975609756,61227.0,False,False,False,False,False,False,False,False,False,False,False
Victorville,San Bernardino,CA,6071,34.5277,-117.3536,364015,False,False,0.041,0.132,-0.8213214285714301,284.0,8.716666666666669,0.1889536360772495,74218.0,False,False,False,False,False,False,False,False,False,False,False
Trenton,Mercer,NJ,34021,40.2237,-74.7641,362179,False,False,0.032,0.10400000000000001,-0.4110119047619065,50.0,10.799999999999999,0.10441093715069799,86499.0,False,False,False,False,False,False,False,False,False,False,False
Modesto,Stanislaus,CA,6099,37.6375,-121.0028,354183,False,False,0.054,0.141,-0.8213214285714301,284.0,8.716666666666669,0.2004687920866979,73151.0,False,False,False,False,False,False,False,False,False,False,False
Huntsville,Madison,AL,1089,34.6981,-86.6412,349482,True,True,0.021,0.102,1.6794404761904822,82.0,21.900000000000002,0.0802713784793211,78386.0,False,False,False,False,False,False,False,False,False,False,False
Honolulu,Honolulu,HI,15003,21.3294,-157.846,348547,False,False,0.035,0.1,0.47530952380952307,45.0,13.216666666666667,0.07252190301548492,90176.0,True,True,True,True,True,False,True,True,True,True,True
Greensboro,Guilford,NC,37081,36.0956,-79.8271,347130,False,True,0.041,0.135,0.8821071428571443,59.0,11.483333333333334,0.09811499637499303,60915.0,True,True,True,False,False,False,True,False,True,True,True
Anaheim,Orange,CA,6059,33.839,-117.8574,347111,False,False,0.032,0.099,-0.8213214285714301,284.0,8.716666666666669,0.13388919483522138,100210.0,False,False,False,False,False,False,False,False,False,False,False
Corpus Christi,Nueces,TX,48355,27.7254,-97.3767,337230,True,True,0.047,0.182,-0.08552380952381,255.0,23.05,0.1589297826472024,59337.0,False,False,False,False,False,False,False,False,False,False,False
Fort Wayne,Allen,IN,18003,41.0888,-85.1436,337163,True,True,0.029,0.131,0.5251547619047621,48.0,25.883333333333336,0.09936967447241873,62680.0,False,False,False,False,False,False,False,False,False,False,False
Fort Collins,Larimer,CO,8069,40.5477,-105.0656,335398,False,False,0.027,0.11199999999999999,-0.07192857142857179,80.0,15.333333333333334,0.03675832249922714,78681.0,True,True,True,True,True,False,True,True,True,True,False
Jackson,Hinds,MS,28049,32.3157,-90.2125,335171,False,True,0.039,0.252,1.5567261904761907,72.0,20.983333333333334,0.11892893319827261,42092.0,True,False,False,False,True,False,False,False,False,False,False
Myrtle Beach,Horry,SC,45051,33.7094,-78.8844,332181,False,True,0.039,0.126,1.4022976190476157,30.0,13.733333333333334,0.08905959589324286,56342.0,False,False,False,False,False,False,False,False,False,False,False
Fayetteville,Cumberland,NC,37051,35.085,-78.9772,328804,False,True,0.051,0.158,0.8821071428571443,59.0,11.483333333333334,0.08022421416318344,52463.0,False,False,False,False,False,False,False,False,False,False,False
Antioch,Contra Costa,CA,6013,37.9787,-121.796,327216,False,False,0.035,0.08800000000000001,-0.8213214285714301,284.0,8.716666666666669,0.1025614270452908,110595.0,False,False,False,False,False,False,False,False,False,False,False
Lansing,Ingham,MI,26065,42.7142,-84.5601,322561,False,False,0.044,0.158,-0.7531666666666652,37.0,15.283333333333333,0.06302091366614683,57733.0,True,True,False,False,True,False,False,False,False,False,False
Lexington,Fayette,KY,21067,38.0423,-84.4587,321276,False,True,0.031,0.146,1.1291190476190494,74.0,25.833333333333332,0.07636568730074515,61269.0,False,False,False,False,False,False,False,False,False,False,False
Mobile,Mobile,AL,1097,30.6782,-88.1162,320855,True,True,0.032,0.182,1.6794404761904822,82.0,21.900000000000002,0.1214035964035964,49848.0,False,False,False,False,False,False,False,False,False,False,False
